NOC,Year,Athletics,Balls,Combat,Shooting,Swimming,Cycling,Weightlifting,WaterSport,Others,Gymnastics,Diving
ALB,2012,1,0,1,2,2,0,4,0,0,0,0
ALB,2016,2,0,0,0,2,0,2,0,0,0,0
ALB,2020,2,0,1,2,2,0,2,0,0,1,0
ALB,2024,2,0,3,2,2,0,0,0,0,0,0
ALG,1964,0,0,0,0,0,0,0,0,0,7,0
ALG,1968,0,0,2,0,0,0,0,0,0,7,0
ALG,1972,6,0,1,0,0,0,0,0,0,0,0
ALG,1980,13,28,9,0,10,0,3,0,0,0,0
ALG,1984,9,15,7,0,0,0,2,0,0,0,0
ALG,1988,15,15,11,0,0,2,2,0,0,0,0
ALG,1992,9,10,13,0,2,0,2,0,0,0,0
ALG,1996,8,16,16,0,3,0,3,1,0,0,0
ALG,2000,23,2,18,0,4,0,1,2,0,1,0
ALG,2004,21,8,29,0,10,0,2,1,0,0,0
ALG,2008,12,12,22,0,6,1,1,3,0,0,0
ALG,2012,7,11,16,1,1,1,1,1,0,0,0
ALG,2016,16,18,18,1,2,2,2,5,0,10,0
ALG,2020,5,1,22,1,5,3,1,6,1,0,0
ALG,2024,8,4,24,3,2,2,1,5,0,6,0
AND,1976,0,0,1,2,0,0,0,0,0,0,0
AND,1980,0,0,0,2,0,0,0,0,0,0,0
AND,1984,0,0,0,2,0,0,0,0,0,0,0
AND,1988,2,0,0,0,0,2,0,0,0,0,0
AND,1992,1,0,1,1,0,3,0,2,0,0,0
AND,1996,1,0,1,1,2,0,0,3,0,0,0
AND,2000,2,0,0,1,2,0,0,0,0,0,0
AND,2004,2,0,1,1,2,0,0,0,0,0,0
AND,2008,2,0,1,0,1,0,0,1,0,0,0
AND,2012,2,0,1,1,2,0,0,0,0,0,0
AND,2016,1,0,1,1,1,0,0,0,0,0,0
AND,2020,1,0,0,0,0,0,0,2,0,0,0
AND,2024,1,0,0,0,0,0,0,3,0,0,0
ANG,1980,3,0,3,0,11,0,0,0,0,0,0
ANG,1988,8,0,10,0,15,0,0,0,0,0,0
ANG,1992,7,12,5,0,6,0,0,3,0,0,0
ANG,1996,3,24,0,1,2,0,0,0,0,0,0
ANG,2000,2,25,0,1,2,0,0,0,0,0,0
ANG,2004,1,27,1,0,1,0,0,0,0,0,0
ANG,2008,1,28,0,0,2,0,0,2,0,0,0
ANG,2012,2,26,1,0,2,0,0,4,0,0,0
ANG,2016,2,15,1,1,2,0,0,5,0,0,0
ANG,2020,1,14,1,0,2,0,0,2,0,0,0
ANG,2024,1,15,1,0,2,0,0,7,0,0,0
ANT,1976,14,0,0,0,0,3,0,0,0,0,0
ANT,1984,22,0,0,0,0,4,0,1,0,0,0
ANT,1988,19,0,2,0,0,3,0,1,0,0,0
ANT,1992,7,0,0,0,0,6,0,5,0,0,0
ANT,1996,14,0,0,0,0,1,0,4,0,0,0
ANT,2000,3,0,0,0,0,0,0,1,0,0,0
ANT,2004,3,0,0,0,2,0,0,0,0,0,0
ANT,2008,4,0,0,0,1,0,0,0,0,0,0
ANT,2012,3,0,0,0,1,0,0,0,0,0,0
ANT,2016,7,0,0,0,2,0,0,0,0,0,0
ANT,2020,2,0,1,0,2,0,0,1,0,0,0
ANT,2024,2,0,0,0,2,0,0,1,0,0,0
ANZ,1908,15,15,1,3,13,0,0,0,0,0,1
ANZ,1912,7,1,0,0,20,0,0,10,0,0,0
ARG,1900,0,0,1,0,0,0,0,0,0,0,0
ARG,1908,0,0,0,0,0,0,0,0,1,0,0
ARG,1920,0,0,1,0,0,0,0,0,0,0,0
ARG,1924,16,13,34,8,6,14,3,15,0,0,0
ARG,1928,12,23,22,0,8,10,3,14,6,0,0
ARG,1932,18,0,17,2,7,0,1,0,2,0,0
ARG,1936,17,4,27,5,1,0,0,14,0,0,0
ARG,1948,38,33,44,12,29,16,8,39,21,55,0
ARG,1952,30,21,37,7,13,6,5,23,18,14,0
ARG,1956,2,0,16,4,0,0,2,6,14,0,0
ARG,1960,4,20,23,9,4,9,0,18,21,7,1
ARG,1964,12,14,44,8,14,14,2,18,15,7,0
ARG,1968,9,18,35,4,20,16,1,15,14,0,0
ARG,1972,10,16,26,5,14,9,0,28,15,0,0
ARG,1976,2,16,28,6,20,8,0,14,12,0,0
ARG,1984,9,10,38,8,12,12,0,17,7,0,2
ARG,1988,2,69,14,6,6,8,0,27,0,0,2
ARG,1992,4,29,18,4,6,8,2,20,0,17,3
ARG,1996,9,86,21,10,22,11,3,38,9,12,0
ARG,2000,11,62,21,7,21,10,2,23,2,5,1
ARG,2004,8,90,13,8,18,5,2,20,10,5,0
ARG,2008,11,76,12,1,16,12,1,15,1,0,0
ARG,2012,10,83,10,2,9,4,0,21,3,6,0
ARG,2016,13,125,10,6,12,7,1,26,27,5,0
ARG,2020,5,127,10,7,8,3,0,18,25,5,0
ARG,2024,6,96,3,6,5,4,0,13,21,0,0
ARM,1996,2,1,13,1,1,1,10,0,0,7,2
ARM,2000,3,1,12,1,2,0,4,2,0,0,1
ARM,2004,2,1,9,2,1,0,4,0,0,0,0
ARM,2008,2,0,15,2,1,0,6,0,0,0,0
ARM,2012,4,0,11,2,2,0,5,0,0,7,0
ARM,2016,5,0,14,1,1,0,7,0,0,6,0
ARM,2020,1,0,10,1,3,0,2,0,0,2,0
ARM,2024,1,0,6,1,2,0,3,0,0,4,0
ARU,1988,3,0,5,0,4,0,0,0,0,0,0
ARU,1992,2,0,0,0,0,2,0,1,0,0,0
ARU,1996,1,0,0,0,0,1,1,0,0,0,0
ARU,2000,2,0,1,0,2,0,0,0,0,0,0
ARU,2004,1,0,0,0,2,0,1,0,0,0,0
ARU,2008,0,0,1,0,1,0,0,0,0,0,0
ARU,2012,0,0,1,0,2,0,1,0,0,0,0
ARU,2016,0,0,2,0,2,0,0,3,0,0,0
ARU,2020,0,0,0,1,3,0,0,0,0,0,0
ARU,2024,0,0,0,1,3,1,0,2,0,0,0
ASA,1988,1,0,3,0,0,0,2,0,0,0,0
ASA,1992,0,0,2,0,0,0,1,0,0,0,0
ASA,1996,2,0,2,0,0,0,1,2,0,0,0
ASA,2000,2,0,0,1,0,0,1,0,0,0,0
ASA,2004,2,0,0,0,0,0,1,0,0,0,0
ASA,2008,1,0,1,0,2,0,0,0,0,0,0
ASA,2012,1,0,1,0,2,0,0,0,0,0,0
ASA,2016,2,0,1,0,0,0,1,0,0,0,0
ASA,2020,1,0,0,0,2,0,1,2,0,0,0
ASA,2024,1,0,0,0,1,0,0,0,0,0,0
AUS,1896,3,2,0,0,0,0,0,0,0,0,0
AUS,1900,4,0,0,0,2,0,0,0,0,0,0
AUS,1904,2,0,0,0,4,0,0,0,0,0,0
AUS,1906,7,0,0,0,3,0,0,0,0,0,0
AUS,1920,8,1,0,0,16,3,0,0,0,0,1
AUS,1924,18,4,4,0,15,6,0,10,1,0,2
AUS,1928,13,0,3,0,8,2,0,1,0,0,2
AUS,1932,5,0,1,0,9,2,0,1,2,0,0
AUS,1936,8,0,6,0,7,4,0,12,0,0,2
AUS,1948,34,10,11,6,14,14,2,11,0,0,1
AUS,1952,40,7,32,0,18,16,3,20,1,0,3
AUS,1956,96,50,51,14,40,16,7,50,13,63,12
AUS,1960,45,25,41,10,46,16,7,47,14,24,5
AUS,1964,60,37,54,8,61,14,7,49,20,78,4
AUS,1968,35,14,19,3,72,14,2,29,20,12,4
AUS,1972,36,39,16,7,79,15,3,36,10,19,6
AUS,1976,47,38,14,11,68,15,3,35,16,19,8
AUS,1980,25,23,12,5,57,15,5,24,1,17,6
AUS,1984,42,69,14,13,74,19,4,48,22,26,6
AUS,1988,38,99,13,24,61,20,4,39,18,17,6
AUS,1992,42,93,12,16,77,19,4,61,15,43,8
AUS,1996,72,106,30,28,78,28,7,87,52,55,7
AUS,2000,104,219,51,44,100,38,12,85,70,49,16
AUS,2004,45,164,29,40,88,37,2,82,60,38,16
AUS,2008,45,135,32,34,102,37,2,87,45,35,16
AUS,2012,55,122,20,24,99,35,2,87,32,27,11
AUS,2016,65,132,17,30,94,43,2,60,61,4,10
AUS,2020,65,168,12,37,104,50,5,81,89,20,7
AUS,2024,90,144,20,19,119,51,3,72,73,47,11
AUT,1896,0,0,1,0,3,4,0,0,0,0,0
AUT,1900,3,0,8,0,9,0,0,0,6,0,0
AUT,1904,0,0,0,0,3,0,0,0,0,4,0
AUT,1906,32,0,15,15,9,18,2,0,8,0,1
AUT,1908,4,5,1,0,3,0,0,0,0,0,0
AUT,1912,27,27,29,15,14,12,0,6,1,0,1
AUT,1924,7,0,19,10,0,0,15,0,2,0,3
AUT,1928,7,16,12,0,3,4,10,3,55,0,3
AUT,1932,2,0,3,0,0,0,2,1,21,0,4
AUT,1936,41,46,42,3,13,16,10,24,100,64,4
AUT,1948,24,23,21,3,2,16,6,22,47,67,8
AUT,1952,19,34,18,5,3,14,4,16,0,120,5
AUT,1956,3,0,7,0,0,13,2,16,8,7,1
AUT,1960,11,0,29,8,10,13,4,29,7,84,3
AUT,1964,11,0,19,5,9,0,3,16,6,5,8
AUT,1968,12,0,13,7,6,0,1,12,6,0,2
AUT,1972,20,0,35,9,4,8,6,41,15,0,5
AUT,1976,6,0,17,11,2,8,5,15,7,0,2
AUT,1980,11,14,11,10,7,8,3,20,3,0,5
AUT,1984,6,15,24,14,16,14,6,20,13,0,2
AUT,1988,11,8,14,18,13,12,1,13,3,1,2
AUT,1992,20,28,16,9,9,5,0,29,9,0,2
AUT,1996,13,8,11,6,7,11,0,22,9,2,3
AUT,2000,14,29,13,8,14,10,0,17,4,0,5
AUT,2004,7,10,9,7,10,11,1,14,21,0,2
AUT,2008,3,21,4,6,27,7,0,15,6,1,3
AUT,2012,7,20,5,7,17,5,0,12,6,11,0
AUT,2016,6,18,7,10,10,5,1,16,6,5,1
AUT,2020,7,12,6,3,16,12,2,16,24,5,0
AUT,2024,7,7,13,11,18,13,0,18,26,7,1
AZE,1996,4,0,13,3,1,0,2,0,0,0,1
AZE,2000,4,0,18,3,2,0,4,0,0,0,1
AZE,2004,4,0,22,3,2,0,5,0,0,1,0
AZE,2008,2,0,25,1,2,0,5,0,1,8,0
AZE,2012,3,0,32,2,2,2,5,5,1,7,0
AZE,2016,4,0,36,3,2,4,0,6,1,13,0
AZE,2020,2,1,24,3,2,1,0,0,4,18,0
AZE,2024,1,6,28,3,2,0,0,1,1,7,0
BAH,1952,0,0,0,0,0,0,0,7,0,0,0
BAH,1956,2,0,0,0,0,0,0,3,0,0,0
BAH,1960,3,0,0,0,0,0,0,11,0,0,0
BAH,1964,4,0,0,0,0,0,0,8,0,0,0
BAH,1968,14,0,2,0,0,0,0,6,0,0,0
BAH,1972,13,0,2,0,0,2,0,8,0,0,0
BAH,1976,15,0,0,0,3,0,0,1,0,0,0
BAH,1984,19,0,3,0,6,0,0,3,0,0,0
BAH,1988,12,0,1,0,2,0,0,2,0,0,1
BAH,1992,9,3,0,0,4,0,0,2,0,0,0
BAH,1996,29,3,0,0,1,0,0,3,0,0,0
BAH,2000,31,2,0,0,6,0,0,0,0,0,0
BAH,2004,20,2,0,0,6,0,0,0,0,0,0
BAH,2008,22,3,1,0,7,0,0,0,0,0,0
BAH,2012,27,0,0,0,2,0,0,0,0,0,0
BAH,2016,31,0,0,0,6,0,0,1,0,0,0
BAH,2020,18,0,0,0,4,0,0,0,0,0,0
BAH,2024,19,0,0,0,2,0,0,0,0,0,0
BAN,1984,2,0,0,0,0,0,0,0,0,0,0
BAN,1988,9,0,0,0,2,0,0,0,0,0,0
BAN,1992,7,0,0,1,1,0,0,0,0,0,0
BAN,1996,2,0,0,1,1,0,0,0,0,0,0
BAN,2000,2,0,0,2,2,0,0,0,0,0,0
BAN,2004,1,0,0,1,2,0,0,0,0,0,0
BAN,2008,2,0,0,1,2,0,0,0,0,0,0
BAN,2012,1,0,0,2,1,0,0,0,0,3,0
BAN,2016,2,0,0,2,2,0,0,0,1,0,0
BAN,2020,1,0,0,5,2,0,0,0,0,0,0
BAN,2024,1,0,0,2,2,0,0,0,0,0,0
BAR,1968,2,0,0,1,2,7,1,0,0,0,0
BAR,1972,10,0,0,2,0,7,1,0,0,0,0
BAR,1976,15,0,0,0,0,2,0,0,0,0,0
BAR,1984,15,0,2,0,4,2,0,2,0,0,0
BAR,1988,12,0,3,0,3,3,0,4,0,0,1
BAR,1992,12,0,2,1,0,2,0,5,0,0,0
BAR,1996,5,0,3,1,4,0,0,2,0,7,0
BAR,2000,19,0,2,1,5,0,0,1,0,0,0
BAR,2004,3,0,1,1,9,1,0,0,0,0,0
BAR,2008,4,0,0,0,5,0,0,1,0,0,0
BAR,2012,4,0,1,0,3,0,0,0,0,0,0
BAR,2016,8,1,0,1,2,0,0,0,1,0,0
BAR,2020,6,0,0,0,3,0,0,0,0,0,0
BAR,2024,2,0,0,0,1,0,0,0,1,0,0
BDI,1996,7,0,0,0,0,0,0,0,0,0,0
BDI,2000,6,0,0,0,0,0,0,0,0,0,0
BDI,2004,5,0,0,0,2,0,0,0,0,0,0
BDI,2008,2,0,0,0,1,0,0,0,0,0,0
BDI,2012,3,0,1,0,2,0,0,0,0,0,0
BDI,2016,7,0,1,0,2,0,0,0,0,0,0
BDI,2020,4,0,1,0,2,0,0,0,0,0,0
BDI,2024,5,0,1,0,2,0,0,0,0,0,0
BEL,1900,0,20,6,44,1,1,0,11,15,2,0
BEL,1906,4,0,14,1,0,6,2,4,0,0,0
BEL,1908,10,7,31,16,7,12,0,13,0,2,1
BEL,1912,3,9,31,0,6,1,0,6,16,0,0
BEL,1920,78,79,70,110,17,24,7,34,43,53,3
BEL,1924,21,40,56,27,6,18,8,26,29,0,3
BEL,1928,53,42,48,0,8,14,8,28,59,0,0
BEL,1932,0,0,12,0,0,0,0,0,57,0,0
BEL,1936,18,31,48,8,0,16,0,19,65,0,0
BEL,1948,26,35,47,4,8,16,3,25,10,8,0
BEL,1952,27,35,43,6,13,16,2,20,1,21,0
BEL,1956,9,12,21,3,6,14,1,10,6,0,0
BEL,1960,19,24,35,5,3,15,2,15,3,29,0
BEL,1964,13,26,5,2,2,15,1,5,0,5,0
BEL,1968,20,27,7,4,11,18,2,7,0,10,0
BEL,1972,19,17,8,10,9,18,1,17,7,0,0
BEL,1976,36,15,11,8,27,11,1,23,7,10,0
BEL,1980,25,0,10,5,20,14,3,7,0,0,0
BEL,1984,15,0,12,11,13,11,0,15,6,1,2
BEL,1988,16,2,8,14,20,6,0,10,1,6,2
BEL,1992,8,5,11,6,23,9,0,18,16,6,1
BEL,1996,14,7,8,7,11,10,0,13,10,1,0
BEL,2000,9,10,9,3,25,14,2,9,8,5,0
BEL,2004,11,6,5,1,0,12,0,10,20,5,0
BEL,2008,21,42,3,0,9,13,1,8,5,10,0
BEL,2012,17,40,5,1,18,19,1,10,21,10,0
BEL,2016,27,23,9,2,21,17,1,6,12,20,0
BEL,2020,43,41,5,2,4,22,2,12,30,24,0
BEL,2024,60,57,9,0,8,36,1,16,31,22,0
BEN,1972,1,0,2,0,0,0,0,0,0,0,0
BEN,1980,10,0,7,0,0,0,0,0,0,0,0
BEN,1984,0,0,3,0,0,0,0,0,0,0,0
BEN,1988,9,0,1,0,0,0,0,0,0,0,0
BEN,1992,5,0,0,0,0,2,0,0,0,0,0
BEN,1996,7,0,0,0,0,0,0,0,0,0,0
BEN,2000,2,1,1,0,0,0,0,0,0,0,0
BEN,2004,2,0,0,0,2,0,0,0,0,0,0
BEN,2008,2,0,1,0,2,0,0,0,0,0,0
BEN,2012,2,0,2,0,1,0,0,0,0,0,0
BEN,2016,2,0,2,0,2,0,0,0,0,0,0
BEN,2020,3,0,1,0,2,0,0,1,0,0,0
BEN,2024,2,0,1,0,2,0,0,0,0,0,0
BER,1936,0,0,0,0,9,0,0,0,0,0,0
BER,1948,16,0,0,0,11,0,0,0,0,0,1
BER,1952,4,0,0,0,6,0,0,0,0,0,2
BER,1956,0,0,0,0,0,0,0,3,0,0,0
BER,1960,0,0,0,0,0,0,0,9,0,0,0
BER,1964,0,0,0,0,0,0,0,4,0,0,0
BER,1968,2,0,0,0,0,0,0,4,0,0,0
BER,1972,0,0,1,0,0,0,0,8,0,0,0
BER,1976,12,0,2,0,0,0,0,6,0,0,0
BER,1984,4,0,0,0,2,3,0,3,1,0,0
BER,1988,7,1,1,0,1,0,0,2,2,0,0
BER,1992,5,0,0,0,14,0,0,7,3,0,0
BER,1996,4,0,0,0,0,1,0,4,1,0,0
BER,2000,1,0,0,0,2,0,0,3,1,0,0
BER,2004,1,0,0,0,1,0,0,5,2,0,1
BER,2008,2,0,0,0,2,0,0,0,2,0,0
BER,2012,2,0,0,0,1,0,0,2,3,0,0
BER,2016,2,0,0,0,2,0,0,3,1,0,0
BER,2020,0,0,0,0,0,0,0,1,1,0,0
BER,2024,1,0,0,0,2,0,0,2,3,0,0
BHU,1984,0,0,0,6,0,0,0,0,0,0,0
BHU,1988,0,0,0,6,0,0,0,0,0,0,0
BHU,1992,0,0,0,12,0,0,0,0,0,0,0
BHU,1996,0,0,0,2,0,0,0,0,0,0,0
BHU,2000,0,0,0,2,0,0,0,0,0,0,0
BHU,2004,0,0,0,2,0,0,0,0,0,0,0
BHU,2008,0,0,0,2,0,0,0,0,0,0,0
BHU,2012,0,0,0,2,0,0,0,0,0,0,0
BHU,2016,0,0,0,2,0,0,0,0,0,0,0
BHU,2020,0,0,1,2,1,0,0,0,0,0,0
BHU,2024,1,0,0,1,1,0,0,0,0,0,0
BIH,1992,4,0,1,2,4,0,1,1,0,0,0
BIH,1996,2,1,2,3,3,0,0,1,0,0,0
BIH,2000,4,0,1,4,2,0,0,0,0,0,0
BIH,2004,2,2,2,3,1,0,0,1,0,0,0
BIH,2008,2,0,1,3,1,0,0,0,0,0,0
BIH,2012,2,0,1,3,2,0,0,0,0,0,0
BIH,2016,5,2,1,1,2,0,0,0,0,0,0
BIH,2020,2,0,2,1,3,0,0,0,0,0,0
BIH,2024,1,0,2,0,3,0,0,0,0,0,0
BIZ,1968,2,0,0,2,0,2,1,0,0,0,0
BIZ,1972,0,0,0,2,0,0,0,0,0,0,0
BIZ,1976,2,0,0,2,0,0,0,0,0,0,0
BIZ,1984,4,0,1,0,0,8,0,0,0,0,0
BIZ,1988,5,0,0,0,0,8,0,0,0,0,0
BIZ,1992,10,0,0,0,0,8,0,0,0,0,0
BIZ,1996,4,0,0,0,0,1,0,0,0,0,0
BIZ,2000,2,0,0,0,0,0,0,0,0,0,0
BIZ,2004,2,0,0,0,0,0,0,0,0,0,0
BIZ,2008,3,0,1,0,0,0,0,0,0,0,0
BIZ,2012,2,0,1,0,0,0,0,0,0,0,0
BIZ,2016,2,0,1,0,0,0,0,0,0,0,0
BIZ,2020,2,0,0,0,0,0,0,2,0,0,0
BIZ,2024,1,0,0,0,0,0,0,0,0,0,0
BLR,1996,38,11,25,20,19,7,9,27,0,98,5
BLR,2000,31,17,27,21,21,0,5,21,2,84,2
BLR,2004,44,10,25,17,19,7,8,26,4,28,4
BLR,2008,49,24,23,16,16,6,10,30,7,52,4
BLR,2012,48,25,23,14,13,11,8,22,6,13,2
BLR,2016,36,15,14,9,11,7,8,19,1,20,2
BLR,2020,31,5,15,14,22,5,2,25,4,14,0
BOH,1900,5,2,0,0,0,1,0,0,0,1,0
BOH,1906,13,5,3,5,0,0,0,0,0,3,0
BOH,1908,6,6,27,0,0,0,0,0,0,2,0
BOH,1912,15,15,31,0,0,10,0,1,1,1,0
BOL,1936,0,0,0,0,1,0,0,0,1,0,0
BOL,1964,0,0,0,0,0,0,0,1,0,0,0
BOL,1968,0,0,0,2,0,0,0,1,1,0,0
BOL,1972,6,0,0,7,0,0,0,0,1,0,0
BOL,1976,1,0,0,1,0,2,0,0,1,0,0
BOL,1984,4,0,5,4,0,0,0,0,0,0,0
BOL,1988,2,0,2,0,4,3,1,0,0,0,0
BOL,1992,9,0,2,1,6,2,1,0,0,0,0
BOL,1996,3,0,1,0,2,1,0,0,0,0,2
BOL,2000,2,1,0,0,2,0,0,0,0,0,0
BOL,2004,2,0,1,1,2,0,0,0,0,5,0
BOL,2008,2,0,0,1,2,1,1,0,0,0,0
BOL,2012,2,0,0,1,2,0,0,0,0,0,0
BOL,2016,6,0,1,2,2,1,0,0,0,0,0
BOL,2020,2,1,0,0,2,0,0,0,0,0,0
BOL,2024,2,0,0,0,2,0,0,0,0,0,0
BOT,1980,8,0,0,0,0,0,0,0,0,0,0
BOT,1984,7,0,0,0,0,0,0,1,0,0,0
BOT,1988,9,0,2,0,0,0,0,0,0,0,0
BOT,1992,5,0,1,0,0,0,0,0,0,0,0
BOT,1996,6,0,1,0,0,0,0,0,0,0,0
BOT,2000,8,0,1,0,0,0,0,0,0,0,0
BOT,2004,10,0,2,0,0,0,0,0,0,0,0
BOT,2008,7,0,2,0,2,0,0,0,0,0,0
BOT,2012,3,0,1,0,0,0,0,0,0,0,0
BOT,2016,11,0,1,0,2,0,0,0,0,0,0
BOT,2020,11,0,2,0,2,0,1,0,0,0,0
BOT,2024,17,0,0,0,2,0,0,0,0,0,0
BRA,1900,3,0,0,0,0,0,0,0,0,0,0
BRA,1920,0,8,0,20,2,0,0,5,0,0,3
BRA,1924,14,0,0,1,0,0,0,2,1,0,0
BRA,1932,22,8,0,6,12,0,0,19,0,0,0
BRA,1936,11,8,18,4,24,3,0,23,3,0,0
BRA,1948,27,10,14,8,21,0,0,7,15,0,3
BRA,1952,16,35,14,10,17,0,3,9,13,0,2
BRA,1956,13,12,2,6,4,2,2,8,12,0,2
BRA,1960,6,35,5,5,9,2,1,10,12,0,1
BRA,1964,1,45,4,0,8,0,0,5,2,0,0
BRA,1968,3,50,9,4,9,0,1,7,6,0,0
BRA,1972,3,40,5,4,33,2,2,12,3,0,0
BRA,1976,11,29,8,8,16,0,1,15,0,0,1
BRA,1980,20,35,12,7,27,10,2,22,0,12,2
BRA,1984,35,65,7,9,29,8,0,22,7,13,2
BRA,1988,26,60,25,8,51,14,2,26,8,12,1
BRA,1992,31,77,23,6,28,9,1,34,10,13,1
BRA,1996,50,114,18,1,21,9,1,24,13,0,0
BRA,2000,23,100,20,0,27,4,1,20,21,16,4
BRA,2004,43,102,24,1,44,6,0,22,26,45,5
BRA,2008,49,117,25,6,52,5,1,21,22,36,4
BRA,2012,40,118,30,4,33,11,2,17,20,28,3
BRA,2016,72,183,57,25,73,10,5,37,56,53,12
BRA,2020,67,127,39,5,47,5,2,22,50,48,4
BRA,2024,56,109,41,8,46,6,2,27,54,51,1
BRN,1984,1,0,0,5,2,0,0,0,6,0,0
BRN,1988,3,0,7,0,0,0,0,0,6,0,0
BRN,1992,8,0,0,0,0,7,0,0,0,0,0
BRN,1996,1,0,0,0,0,0,0,4,0,0,0
BRN,2000,2,0,0,0,2,0,0,0,0,0,0
BRN,2004,6,0,0,1,2,0,0,1,0,0,0
BRN,2008,12,0,0,1,2,0,0,0,0,0,0
BRN,2012,11,0,0,1,2,0,0,0,0,0,0
BRN,2016,29,0,1,1,2,0,0,0,0,0,0
BRN,2020,13,16,1,1,2,0,0,0,0,0,0
BRN,2024,9,0,2,0,2,0,2,0,0,0,0
BRU,1996,0,0,0,1,0,0,0,0,0,0,0
BRU,2000,1,0,0,1,0,0,0,0,0,0,0
BRU,2004,1,0,0,0,0,0,0,0,0,0,0
BRU,2012,2,0,0,0,1,0,0,0,0,0,0
BRU,2016,2,1,0,0,0,0,0,0,0,0,0
BRU,2020,1,0,0,0,1,0,0,0,0,0,0
BRU,2024,1,0,0,0,2,0,0,0,0,0,0
BUL,1924,6,11,0,0,0,11,0,0,3,0,0
BUL,1928,0,0,3,0,0,0,0,0,7,0,0
BUL,1932,0,0,0,0,0,0,0,0,2,0,0
BUL,1936,2,0,3,1,0,14,0,0,9,56,0
BUL,1952,6,25,4,6,0,12,0,0,6,120,0
BUL,1956,0,25,12,0,0,0,2,0,7,36,0
BUL,1960,10,27,26,6,0,9,7,5,9,84,0
BUL,1964,9,12,22,7,0,1,5,2,0,58,0
BUL,1968,10,42,25,8,7,0,5,8,6,78,0
BUL,1972,22,23,37,9,5,6,9,17,14,84,0
BUL,1976,24,12,42,7,9,10,9,51,6,84,0
BUL,1980,62,45,44,14,29,9,10,70,27,84,3
BUL,1988,26,30,44,13,19,0,6,57,0,86,0
BUL,1992,23,15,32,18,11,1,10,36,3,86,1
BUL,1996,23,21,22,16,2,0,10,22,0,64,1
BUL,2000,24,9,13,11,11,0,9,17,7,49,0
BUL,2004,20,6,20,6,14,3,9,19,1,21,0
BUL,2008,18,14,14,9,8,2,0,8,0,14,0
BUL,2012,9,15,15,10,7,2,2,3,0,12,0
BUL,2016,12,5,17,7,4,1,0,5,1,6,0
BUL,2020,6,4,13,5,10,0,2,1,1,14,0
BUL,2024,5,4,15,5,6,0,3,3,1,19,0
BUR,1972,1,0,0,0,0,0,0,0,0,0,0
BUR,1988,7,0,2,0,0,0,0,0,0,0,0
BUR,1992,3,0,1,0,0,0,0,0,0,0,0
BUR,1996,4,0,1,0,0,0,0,0,0,0,0
BUR,2000,2,0,2,0,0,0,0,0,0,0,0
BUR,2004,3,0,1,0,1,0,0,0,0,0,0
BUR,2008,2,0,2,0,2,0,0,0,0,0,0
BUR,2012,2,0,1,0,2,0,0,0,0,0,0
BUR,2016,2,0,1,0,2,0,0,0,0,0,0
BUR,2020,3,0,2,0,2,1,0,0,0,0,0
BUR,2024,2,0,3,0,2,1,0,0,0,0,0
CAF,1968,1,0,0,0,0,0,0,0,0,0,0
CAF,1984,1,0,2,0,0,0,0,0,0,0,0
CAF,1988,1,12,2,0,0,0,0,0,0,0,0
